name,address,latitude,longitude,opening_hours,website,instagram,map_embed
KENTO'S 銀座,〒104-0061 東京都中央区銀座８丁目２−１,35.6699987,139.7597408,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJUVw60e6LGGARPbmnS5Ik34w
ライブハウス GINZA TACT,〒104-0061 東京都中央区銀座６丁目９−１５ タクトワンビル B1F,35.6699559,139.7630981,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJx47xGOaLGGAR2ubbkmEJeL4
ケネディハウス 銀座,〒104-0061 東京都中央区銀座７丁目２−２ コリドー通り B1F 先,35.6716116,139.7603138,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJh0tkHe-LGGAR4QncL89HruI
スウィング銀座,〒104-0061 東京都中央区銀座西２−２ 銀座インズ 2 Ｆ,35.6751708,139.7651295,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJy3jc_uSLGGARXX60ytNK3mw
GINZA Lounge ZERO,〒104-0061 東京都中央区銀座７丁目５−４ 毛利ビル 7階,35.67012,139.761735,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJq6r6tOiLGGARjl245DUq6uc
ロッキートツプ,〒104-0061 東京都中央区銀座７丁目８−１９ 東京ビルディング 3F,35.6694908,139.7626123,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ4XImnuiLGGARGwY3XzB2ITE
銀座 BASE GRANBELL（ベースグランベル）,"〒104-0061 東京都中央区銀座７丁目２−１８ グランベルスクエア B2F,B3F",35.6707477,139.7600117,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJJcc8iAGLGGARu3B37ikr8P8
ブルームード,〒104-0045 東京都中央区築地５丁目６−１０ 浜離宮パークサイドプレイス1F,35.6623453,139.76552329999998,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJwTuqhduLGGARVegXIMIqGfk
銀座CYGNUS,〒104-0061 東京都中央区銀座８丁目６−１８ 銀座カレラ弐番館ビル B2 ビル,35.6685376,139.7603564,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJm2qO4-iLGGAR_wvHubz4LOo
Ginza ATTIC,〒104-0061 東京都中央区銀座８丁目５−１９ 三幸ビル B2,35.6686063,139.7598525,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ8ZMkjBGLGGARMh3ydfn6hG4
