name,address,latitude,longitude,opening_hours,website,instagram,map_embed
MusicBar LANDS ROCK,〒171-0014 東京都豊島区池袋２丁目４７−７ フォーレセブンビル 6F,35.7337494,139.71089849999998,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ8133F16NGGARAkZ8QCglRfk
CORD BAR,〒171-0021 東京都豊島区西池袋１丁目３９−１ ウエストコアー B1,35.7327012,139.70978599999998,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ86P7b16NGGARD3UKr1SW410
black boom,〒171-0021 東京都豊島区西池袋１丁目１８−１ B1,35.731201899999995,139.7092389,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJJzD6vEuNGGARh_KaOTmL0cM
"Music Cafe Bar ""ONE's""",〒171-0014 東京都豊島区池袋２丁目２−６ Palace池袋 4F,35.732096999999996,139.708013,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJvarimV6NGGARw18S9rr6AjU
knot,〒171-0021 東京都豊島区西池袋３丁目２２−７ 池田ビル B1F,35.7304142,139.7062354,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJVVUR-VuNGGAR7K6QG-PYO7c
ザップ,〒171-0021 東京都豊島区西池袋１丁目３４−４,35.7325685,139.7102391,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJf0PadF6NGGARb2hfFGQ0GW8
Live garage Adm,〒170-0013 東京都豊島区東池袋１丁目２２−１ ＧＳハイム池袋 B1F,35.729523799999996,139.7160711,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJa-7KumiNGGAR4D1wAXm2mS8
likeit+K,〒171-0021 東京都豊島区西池袋５丁目１−５ B1,35.7315173,139.7063277,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJqcEETVmNGGAR7CFIqnqxBI8
VOYAGER LOUNGE SHIBUYA DJ BAR,〒150-0044 東京都渋谷区円山町２−６ J PLAZAビル 1F,35.6581342,139.6954865,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJjWdA-uaNGGARmNIl_WcfYcg
Hoteyes,〒171-0021 東京都豊島区西池袋２丁目３９−９,35.7277061,139.7079613,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJSbi_xlyNGGAR-HU0HXJOIYM
