name,address,latitude,longitude,opening_hours,website,instagram,map_embed
池袋Live inn ROSA,〒171-0021 東京都豊島区西池袋１丁目３７−１２ ロサ会館 B2F,35.732222199999995,139.7091667,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJtTNge16NGGAR0UINWcFdZdw
LiveHouse Only You ライブハウス 東京池袋,〒171-0014 東京都豊島区池袋２丁目６４−１１ 平和ビル2F,35.735303,139.7113084,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJf9Xv01-NGGARVP0hXzcxEFc
池袋BlackHole,〒171-0014 東京都豊島区池袋２丁目３−５ 曙ビル B1F,35.732082399999996,139.7077114,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJB5BgHFiNGGARoQThgqZNxDY
harevutai,〒170-0013 東京都豊島区東池袋１丁目１９−１,35.7319531,139.7155912,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ_TPIoVmNGGARl1NMQLJYTyE
池袋 LiveHouse mono,〒171-0022 東京都豊島区南池袋３丁目１３−１７ Mashita5ビル B1F,35.726142599999996,139.712493,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJVVUUyWmNGGARrRk80gajvLs
池袋EDGE,〒171-0022 東京都豊島区南池袋１丁目２３−６ ＫＤＧ池袋ビル B2F,35.7290499,139.71273549999998,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJAQDM4GeNGGARyi0QSNtuEx4
Hoteyes,〒171-0021 東京都豊島区西池袋２丁目３９−９,35.7277061,139.7079613,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJSbi_xlyNGGAR-HU0HXJOIYM
池袋 SOUND PEACE,〒171-0014 東京都豊島区池袋２丁目５０−９,35.7344599,139.7110069,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJNwM7M7uNGGARWEpavqTdMok
Live garage Adm,〒170-0013 東京都豊島区東池袋１丁目２２−１ ＧＳハイム池袋 B1F,35.729523799999996,139.7160711,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJa-7KumiNGGAR4D1wAXm2mS8
Absolute Blue,〒171-0021 東京都豊島区西池袋１丁目１５−６ 豊島会館 B2F,35.7305108,139.7095067,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJO-3_sF2NGGARgQGsToCjhxY
