name,address,latitude,longitude,opening_hours,website,instagram,map_embed
unravel tokyo,〒106-0032 東京都港区六本木４丁目１１−１１ 六本木Gmビル B1F,35.6642183,139.73153349999998,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJl5BC4m6LGGARvnvr9DaOiY8
Billboard Live TOKYO,〒107-0052 東京都港区赤坂９丁目７−４ 東京ミッドタウン ガーデンテラス 4F,35.666457099999995,139.7308889,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ6y57w3iLGGARVYNU9bHLT-M
ライブレストラン 六本木バードランド,〒106-0032 東京都港区六本木３丁目１３−１４ ゴトウビル３rd ５F,35.663154899999995,139.7339715,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ4QwHL4eLGGARtf9lDDac2Co
Bauhaus Roppongi,〒106-0032 東京都港区六本木７丁目１３−２ Urban Building B1,35.6643013,139.7308993,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJE6blDZ2LGGARx-NgrApdHvU
EX THEATER ROPPONGI,〒106-0031 東京都港区西麻布１丁目２−９,35.661263399999996,139.7272975,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJmVhPVneLGGARkYW2ZBgmfbQ
六本木 CLUB EDGE,〒106-0032 東京都港区六本木５丁目１８−２１,35.6608884,139.7369732,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJq6oGB5yLGGARdzLnWRJbtA4
ライブハウスケントス 六本木,〒106-0032 東京都港区六本木４丁目１−１６ 六本木ハイツ B1,35.6647082,139.7345868,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJCd2gEp2LGGARd20QpQ2s1_w
六本木クラップス,〒106-0032 東京都港区六本木３丁目１６−３３ 青葉六本木ビル B1,35.6620931,139.73638290000002,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJS2otZ5yLGGARK32cYf0sVlg
ライブハウスＺ,〒106-0032 東京都港区六本木４丁目４−３ 協和 西館 ビル B1,35.665115,139.732328,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ3VIRg4KLGGARreGSJgWWsx8
ABBEY ROAD Tokyo,"〒106-0032 東京都港区六本木５丁目１６−５２ Forum, Imperial Roppongi Ⅱ B2",35.6615935,139.7353478,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJjZaRCniLGGARDZx1XAKFBU0
