name,address,latitude,longitude,opening_hours,website,instagram,map_embed
V2 TOKYO,〒106-0032 東京都港区六本木７丁目１３−７,35.6639218,139.7306058,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJMUw6UgKLGGARFYLerPlpqKo
IBEX TOKYO,"21泰明ビル 5F, ３丁目-１１-6 六本木 港区 東京都 106-0032",35.663082599999996,139.73316409999998,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ24YF8JyLGGARQoS15T_ctL0
ODEON TOKYO オデオン トウキョウ,"3F, ３丁目-１５-23 六本木 港区 東京都 106-0032",35.662364,139.735236,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ-6NF95yLGGARtUEPWokfIJc
JUMANJI 55,〒106-0032 東京都港区六本木３丁目１０−５ マリーナビル １階，２階,35.663183599999996,139.7334692,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJq6qeN52LGGAR0PC1h54av_4
マハラジャ 六本木,〒106-0032 東京都港区六本木６丁目１−３ 六門ビル 6F,35.6627267,139.7322322,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJV7ghOZ2LGGARDjDNhXW64Ig
六本木CUBE,〒106-0041 東京都港区麻布台３丁目４−１１ 中央飯倉ビル B1,35.6605632,139.73897549999998,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJrWv-cZmLGGARQ86sGR8gD0U
party on TOKYO box disco,〒106-0032 東京都港区六本木３丁目８−１５ 日拓ビル B1,35.663274,139.734081,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJscW_L52LGGAR2y2Th-uiAag
Sonidos Bar Roppongi,"SHIMOJOU building B1F 3-14-8, ３丁目-１４ 六本木 港区 東京都 106-0031",35.6624736,139.7349942,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJg5ib-5yLGGARJfqNv6F283c
ＮＥＷ ＰＬＡＮＥＴ,〒106-0032 東京都港区六本木３丁目１０−５ マリーナビル １階,35.6631777,139.7334094,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJq6qeN52LGGARkXG2K9Et6iM
東京倶楽部,〒106-0032 東京都港区六本木１丁目９−１４,35.664121099999996,139.74127110000003,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJOfk7ZJqLGGARxyxJgHzUMFs
