name,address,latitude,longitude,opening_hours,website,instagram,map_embed
TK NIGHTCLUB,〒150-0042 東京都渋谷区宇田川町１３−８ B1,35.660941100000000,139.6985674,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJi9W-AKmMGGARgTIvRY42-po
CLUB VIZEL,〒150-0042 東京都渋谷区宇田川町１２−３ ｢ニュー渋谷コーポラス 1F｣,35.6617771,139.6980776,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJN2wOUeONGGARULDASBtua_0
R Lounge,〒150-0042 東京都渋谷区宇田川町４−７ トウセン宇田川町ビル 6-7階,35.6625048,139.6978734,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJORMuOqmMGGARuUTOAOwRSRI
ATOM TOKYO -Shibuya-,〒150-0044 東京都渋谷区円山町２−４ ドクタージーカンズビル 4F/6F,35.658305900000000,139.6954048,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJgQQtEqqMGGAR0lBz9of3YVI
LAUREL TOKYO,〒150-0043 東京都渋谷区道玄坂１丁目１７−９ ホテルＳＫ ＰＬＡＺＡ B1F,35.6569107,139.696871,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJUwITbVaLGGARytnw8TVF2Ms
CLUB CAMELOT,〒150-0041 東京都渋谷区神南１丁目１８−２ フレーム神南坂 B3,35.662660000000000,139.70003700000000,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJu5JQ66iMGGARx4LoABnQNPU
WOMB,〒150-0044 東京都渋谷区円山町２−１６,35.6584234,139.69494510000000,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJQVW_FKqMGGARQwUFx1IqoEc
BRAND SHIBUYA - ブランド渋谷 バー＆ラウンジ,〒150-0043 東京都渋谷区道玄坂２丁目２３−１３ 渋谷デリタワービル B1F,35.6601085,139.69613310000000,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJybIt9OyNGGARQJBiLZ1vpn0
BAIA,〒150-0042 東京都渋谷区宇田川町１６−１７,35.661639800000000,139.6990748,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJETgY-i-NGGAROpxb-9rKp1E
翠月 - MITSUKI -,〒150-0043 東京都渋谷区道玄坂１丁目２２−１２ 長島第一ビル B1,35.6565897,139.69574650000000,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJpekkTDCLGGARBNIAKaSmr5c
HARLEM,〒150-0044 東京都渋谷区円山町２−４ Dr−２−４ ドクタージーカンズビル 2F・3F,35.658306000000000,139.69527390000000,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJS9rHE6qMGGARShO63ATTEow
