name,address,latitude,longitude,opening_hours,website,instagram,map_embed
BRAND SHIBUYA - ブランド渋谷 バー＆ラウンジ,〒150-0043 東京都渋谷区道玄坂２丁目２３−１３ 渋谷デリタワービル B1F,35.6601085,139.69613310000003,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJybIt9OyNGGARQJBiLZ1vpn0
Circus Tokyo,〒150-0002 東京都渋谷区渋谷３丁目２６−１６ 第５叶ビル 1F/B1F,35.65417,139.705579,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJIyRAbluLGGARpgHX0qKdaDc
The Room,〒150-0031 東京都渋谷区桜丘町15−１９ 第八東都ビル B1F,35.6564984,139.7015973,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJE_8851mLGGARXlmYywlQoSs
LAUREL TOKYO,〒150-0043 東京都渋谷区道玄坂１丁目１７−９ ホテルＳＫ ＰＬＡＺＡ B1F,35.6569107,139.696871,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJUwITbVaLGGARytnw8TVF2Ms
CLUB VIZEL,〒150-0042 東京都渋谷区宇田川町１２−３ ｢ニュー渋谷コーポラス 1F｣,35.6617771,139.6980776,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJN2wOUeONGGARULDASBtua_0
渋谷 CLUB QUATTRO,〒150-0042 東京都渋谷区宇田川町３２−１３ 4・5F,35.6611055,139.6975463,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJcbk5C6mMGGARp-MhjqJJEnM
渋谷WOMBLOUNGE,〒150-0044 東京都渋谷区円山町２−１６,35.658425,139.694952,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJQVW_FKqMGGAR-9aRZ4NBhyo
Club Malcolm,〒150-0042 東京都渋谷区宇田川町３０−５ JOWビル B1F,35.6609139,139.6979749,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJAxN6p6mMGGAR9G84EXQWd4w
翠月 - MITSUKI -,〒150-0043 東京都渋谷区道玄坂１丁目２２−１２ 長島第一ビル B1,35.6565897,139.69574649999998,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJpekkTDCLGGARBNIAKaSmr5c
BAIA,〒150-0042 東京都渋谷区宇田川町１６−１７,35.661639799999996,139.6990748,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJETgY-i-NGGAROpxb-9rKp1E
