name,address,latitude,longitude,opening_hours,website,instagram,map_embed
WARP SHINJUKU,〒160-0021 東京都新宿区歌舞伎町１丁目２１−１ 第二東亜会館 B1,35.6952253,139.70130699999999,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJvYQ91B-NGGARALbKcCguZS4
RUN -MUSIC FASHION BAR- 嵐,〒160-0021 東京都新宿区歌舞伎町１丁目１０−３ Ｇ３ビル １F,35.6947124,139.70300400000002,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJSbOHCtmNGGARCIAsf8Gz9Rw
ZEROTOKYO,〒160-0021 東京都新宿区歌舞伎町１丁目２９−１,35.6957837,139.7005074,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJH3nGVNyNGGAR2MpoFj9X4_0
T2 SHINJUKU,〒160-0023 東京都新宿区西新宿７丁目１−１ 新宿カレイドビル 7F,35.6941128,139.69908709999999,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJnRBchk-NGGARl4O6MNpXllM
Arty Farty,〒160-0022 東京都新宿区新宿２丁目１１−７ 第33宮庭ビル ２階,35.690440699999996,139.70727159999998,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJycyZD7XyGGAR7djEBSzuGzo
新宿 club SCIENCE,〒160-0021 東京都新宿区歌舞伎町２丁目２５−６ ホライズン・ビルディング B1F,35.6954844,139.7035426,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJu_xTq2qNGGAR2NlcQ7sDMh4
Zirco Tokyo,〒160-0021 東京都新宿区歌舞伎町１丁目２−５ 東陽ビル B2F,35.6937548,139.7038714,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ43IAxFuNGGAREHibIWAKrKg
Tide Tokyo,〒160-0021 東京都新宿区歌舞伎町１丁目２−３ レオ新宿ビル １．２F,35.69358460000001,139.7039072,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJk8pO4dmNGGAR1FADOmAsVdg
SPACE,〒160-0022 東京都新宿区新宿５丁目４−１ 新宿Qフラットビル B1,35.6918134,139.71064379999999,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJucNu34uNGGAR945xkVBknwM
新宿ACB HALL,〒160-0021 東京都新宿区歌舞伎町２丁目３６−３ 新宿Acb会館 B2,35.6959002,139.7024219,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJh9X_WyaNGGARUYHUeKiPiwQ
