name,address,latitude,longitude,opening_hours,website,instagram,map_embed
新宿LOFT,〒160-0021 東京都新宿区歌舞伎町１丁目１２−９ タテハナビル B2,35.695344,139.7026644,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJNxwcONiMGGARxp-2bBl33mY
新宿ANTIKNOCK,〒160-0022 東京都新宿区新宿４丁目３−１５ レイフラット新宿 B1F,35.6886064,139.7035134,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJN2qZ1NqMGGARPaTbIWZkVms
新宿MARZ,〒160-0021 東京都新宿区歌舞伎町２丁目４５−１ 第5ライデンビル Ｂ１Ｆ トキワビル,35.6963073,139.70066989999998,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJGa1pCzqNGGARK201-NazdyA
新宿ReNY,〒160-0023 東京都新宿区西新宿６丁目５−１ アイランドホール ２F,35.6928345,139.6926755,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJbZTeYtWMGGAROy2KVvEfxdE
Zirco Tokyo,〒160-0021 東京都新宿区歌舞伎町１丁目２−５ 東陽ビル B2F,35.6937548,139.7038714,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ43IAxFuNGGAREHibIWAKrKg
新宿SAMURAI,〒160-0021 東京都新宿区歌舞伎町２丁目４２−１６,35.697905,139.7017998,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJCVgA6W6NGGARAUeeB3bD3hY
新宿ヘッドパワー,〒169-0072 東京都新宿区大久保２丁目５−１９ シティプラザ大久保 B1,35.7029809,139.7081503,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJKbuNbCGNGGARXNTRixMgPNo
Zepp Shinjuku (TOKYO),〒160-0021 東京都新宿区歌舞伎町１丁目２９−２９ タワー B1F 1 東急 B4F,35.695897099999996,139.7006492,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJt5fTmYaNGGARZZsIZiposH4
グラムシュタイン,〒169-0072 東京都新宿区大久保２丁目６−１０,35.701716,139.707931,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJm9g5HiGNGGARNIKOmNBxJ1E
SHINJUKU FACE,〒160-0021 東京都新宿区歌舞伎町１丁目２０−１ 7F,35.6958817,139.7015879,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJTQDA97eNGGARsBZuvwzhqPw
