name,address,latitude,longitude,opening_hours,website,instagram,map_embed
ジャズクラブアリエス,〒110-0005 東京都台東区上野２丁目４ ２丁目４−８ サントリー会館 B１F,35.7088074,139.7719771,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJJdnqYyCMGGARhKUYfDbCMt4
QUEEN's CLUB クイーンズクラブ,〒110-0005 東京都台東区上野４丁目４−４ Hirokouji2000ビル 7F,35.70831,139.773398,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJm9N_6J-OGGARS3HzoxVnuUE
BTC Club,〒110-0034 東京都文京区湯島３丁目３５−９ 白川ビル 地下１階,35.7079807,139.7703178,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJCd-2fjyNGGARJ93vMFZV-vg
上野ストアハウス,〒110-0014 東京都台東区北上野１丁目６−１１ NORDビル B1,35.7163379,139.7818117,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJMzkYQJqOGGARX4nYYzHRmxI
Hard Rock Cafe Uyeno-Eki Tokyo,〒110-0005 東京都台東区上野７丁目１−１ 1F,35.7120696,139.77612689999998,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJr5bUGpyOGGARk-hJ5DvQeQg
Every Swing,〒110-0015 東京都台東区東上野３丁目１５−１４ ウエノエストビル B１Ｆ,35.7105527,139.7785747,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ6yz2lZiOGGARFgOv4ov5pPs
JJ-上野,〒113-0034 東京都文京区湯島３丁目４５−１０ ジェストビル 3Fabc室,35.7088214,139.7704516,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJh4XPL5mNGGARVbyfGCQts88
アールジービー東京,〒110-0005 東京都台東区上野５丁目１８−７ モリタビル地下１階,35.7055667,139.7747544,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJx7uYT-OLGGARBm0bajNoDIo
CLASSIC-TOKYO,〒110-0005 東京都台東区上野２丁目９−６ 大和上野ビル 1F,35.709202499999996,139.7722843,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ0f7bplGNGGARScqfM8xuUiU
KOAKUMA 上野 ガールズバー,〒110-0005 東京都台東区上野２丁目１２−２,35.7096278,139.7728674,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJA2l0HfSPGGARh07rBQpRRiE
