name,address,latitude,longitude,opening_hours,website,instagram,map_embed
ライブハウス上野 Untitled,〒110-0002 東京都台東区上野桜木１丁目５−６ シーダーレジデンス 地下一階,35.7201616,139.771375,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ-5-wICqMGGARcrkCFfP65cs
上野音横丁,〒110-0015 東京都台東区東上野３丁目１６−３,35.7106372,139.7778736,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJFatjMp-OGGARtzn9wSQEioc
ライブスペース Qui（き）,〒110-0005 東京都台東区上野２丁目１３−２ パークサイドビル 4F,35.710067599999995,139.7729383,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJR_CZJ56OGGARSntGe6ymPmw
Every Swing,〒110-0015 東京都台東区東上野３丁目１５−１４ ウエノエストビル B１Ｆ,35.7105527,139.7785747,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJ6yz2lZiOGGARFgOv4ov5pPs
ジャズクラブアリエス,〒110-0005 東京都台東区上野２丁目４ ２丁目４−８ サントリー会館 B１F,35.7088074,139.7719771,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJJdnqYyCMGGARhKUYfDbCMt4
上野ストアハウス,〒110-0014 東京都台東区北上野１丁目６−１１ NORDビル B1,35.7163379,139.7818117,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJMzkYQJqOGGARX4nYYzHRmxI
う・か・た,〒113-0034 東京都文京区湯島３丁目４０−１１ オレンジビル B1,35.707566,139.772266,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJQ_QuDiCMGGAR8Ws1hy57NWA
ライブカスター,〒113-0034 東京都文京区湯島３丁目３５−１０ ソシアル広小路ビル 8F,35.7080516,139.7705394,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJncevUyCMGGARgsxg0MBHQJo
ワッツアップ,〒110-0003 東京都台東区根岸１丁目７−１１,35.722462,139.777984,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJSfl7B4SOGGARRWcEMsJMaBQ
駅前ホール ベースオントップ上野 | UENO HALL,〒110-0015 東京都台東区東上野３丁目１８−２ タカラスポーツビル 1F,35.7109726,139.7774095,,,,https://www.google.com/maps/embed/v1/place?key=AIzaSyAut9NbtYesO3gS65jsNLQxmn9WzohquRs&q=place_id:ChIJbfmf2TOPGGARXs0wwJAyK9w
